230709046,20,100,100,100,100,100,100,100,0,100,100,100,100,100,51,,30,,,40,30,43
250709005,100,50,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,16,
250709034,100,90,100,0,100,70,0,100,100,0,0,100,0,100,80,,46,75,,,65,44
260709007,100,90,100,100,100,100,100,100,100,100,100,0,100,0,67,79,77,40,,,78,55
260709012,100,50,70,100,100,100,100,100,0,0,0,0,0,100,61,58,50,40,,25,14,15
260709019,100,100,100,100,100,100,100,100,100,100,100,100,100,100,52,64,60,85,,40,31,46
260709020,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,90,58,,43,,32,60
260709029,100,80,100,100,100,100,100,100,0,0,100,100,100,0,62,53,74,85,77,35,63,50
260709034,100,80,100,100,50,100,100,100,100,100,100,100,100,100,26,,,,,,13,
260709046,50,10,70,0,0,0,0,0,0,0,0,0,0,0,90,88,68,75,85,90,93,81
270709001,100,70,100,100,100,100,100,100,100,100,100,100,100,100,41,34,40,35,26,35,34,40
270709002,100,100,100,100,100,0,100,100,100,100,0,0,100,0,53,,,,16,55,18,
270709003,50,10,0,0,100,100,0,100,100,0,0,0,0,0,,49,28,,50,45,33,32
270709004,0,100,50,100,100,100,100,100,100,100,100,100,100,100,85,92,,60,76,70,31,15
270709005,100,100,100,100,100,100,100,100,100,100,100,100,100,100,40,63,72,90,80,35,59,61
270709006,100,100,100,100,100,100,100,100,100,100,100,100,100,100,62,23,72,60,,,34,44
270709008,20,100,50,100,100,100,100,100,100,0,100,0,0,0,80,82,,40,73,50,46,75
270709009,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,20,
270709010,100,0,70,0,0,0,0,0,0,0,0,0,0,0,50,71,86,85,83,95,86,75
270709013,100,100,100,100,100,100,100,100,100,100,100,100,100,100,21,13,,,,,24,
270709014,20,10,100,100,100,100,100,100,0,0,0,0,0,0,62,74,61,50,,30,27,45
270709015,20,100,70,100,100,100,100,100,100,0,100,100,100,100,41,51,39,35,37,25,37,56
270709017,100,100,100,100,0,100,0,100,100,100,100,100,100,100,31,,,,,,,
270709020,50,100,70,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,
270709021,50,10,0,0,0,0,0,0,0,0,0,0,0,0,57,68,45,40,,,62,52
270709026,100,100,100,100,100,100,100,100,100,0,100,100,0,0,62,73,56,40,,,58,43
270709027,20,100,70,100,100,100,100,0,100,0,0,0,0,0,62,42,64,65,,,57,40
270709028,20,100,70,100,100,100,100,0,100,0,0,0,0,0,72,86,82,60,100,70,57,67
270709031,50,100,100,100,100,100,100,100,100,100,100,100,100,100,62,40,48,40,31,55,74,45
270709033,0,100,0,100,100,100,100,100,100,100,0,0,0,0,52,90,84,95,85,75,62,74
270709038,0,100,100,100,100,100,100,100,100,100,100,100,0,0,67,76,50,55,70,65,88,81
270709039,0,100,100,100,100,100,100,100,100,100,100,100,100,100,27,,,,,,9,
270709040,100,100,100,100,100,100,100,100,100,100,100,100,100,100,71,60,73,75,61,80,74,57
270709041,100,100,100,100,100,100,100,100,100,100,100,100,100,100,62,73,56,,,,7,
270709042,100,70,100,100,100,0,0,0,0,0,0,0,0,0,22,18,,45,,45,37,5
270709045,0,100,100,100,100,100,100,100,100,100,100,100,100,100,26,,,,,,,
270709047,50,100,70,100,100,100,0,0,0,0,0,0,0,0,76,66,74,80,81,50,60,66
270709048,20,10,50,100,100,100,0,100,100,0,100,100,0,100,46,53,32,,73,45,59,70
270709049,100,100,100,0,100,100,0,100,100,100,100,100,100,100,55,73,32,35,81,55,51,49
270709050,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,77,40,95,90,60,55,40
270709051,0,80,100,100,100,100,100,100,100,100,100,100,100,0,55,39,40,,,25,12,21
270709054,20,100,100,100,100,100,0,0,100,100,0,100,0,0,71,62,,85,83,75,54,47
270709055,70,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,
270709056,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85,98,86,80,76,65,81,74
270709058,0,10,70,0,100,0,100,100,0,0,0,0,0,0,,,,,,,17,
270709059,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85,74,32,55,73,45,63,62
270709061,100,100,100,100,100,100,100,100,100,100,100,100,100,100,60,62,40,50,69,40,48,55
270709062,100,100,100,100,100,100,100,100,100,100,100,100,100,100,71,71,59,40,63,20,49,50
270709063,100,100,100,100,100,100,100,100,100,100,100,100,100,100,65,,32,,,45,19,
270709009,100,90,100,0,0,0,0,0,0,0,0,0,0,0,36,,,,,,17,
280709009,100,100,100,100,100,100,100,100,100,100,100,100,100,100,86,95,,65,76,70,67,74
460709002,100,100,100,0,100,100,0,100,0,0,100,100,0,100,61,41,29,85,,40,28,18
470709069,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,70,92,80,83,95,77,70
470709071,0,60,100,100,100,100,100,100,100,10,50,100,0,0,76,66,80,75,100,55,54,46
480709063,20,100,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,
